TemplateName,Status,SendResult,Error
marketing_none_none_footer_promo_vars_2485,APPROVED,SENT,
marketing_none_none_footer_promo_novars_1215,APPROVED,SENT,
marketing_none_quick_reply_footer_promo_vars_5922,APPROVED,SENT,
marketing_none_quick_reply_footer_promo_novars_5992,APPROVED,SENT,
marketing_none_cta_footer_promo_vars_2410,APPROVED,SENT,
marketing_none_cta_footer_promo_vars_9268,APPROVED,SENT,
marketing_none_cta_footer_coupon_vars_5514,APPROVED,SENT,
marketing_none_cta_footer_promo_novars_9918,APPROVED,SENT,
marketing_none_cta_footer_promo_novars_4035,APPROVED,SENT,
marketing_none_cta_footer_coupon_novars_8433,APPROVED,SENT,
marketing_text_none_footer_promo_vars_5183,APPROVED,SENT,
marketing_text_quick_reply_footer_promo_vars_1708,APPROVED,SENT,
marketing_text_cta_footer_promo_vars_8262,APPROVED,SENT,
marketing_text_cta_footer_promo_vars_7248,APPROVED,SENT,
marketing_text_cta_footer_coupon_vars_5372,APPROVED,SENT,
marketing_text_cta_qr_footer_promo_vars_5230,APPROVED,SENT,
marketing_text_cta_qr_footer_promo_vars_4421,APPROVED,SENT,
marketing_text_cta_qr_footer_coupon_vars_4284,APPROVED,SENT,
marketing_text_none_nofooter_promo_vars_4338,APPROVED,SENT,
marketing_text_quick_reply_nofooter_promo_vars_2191,APPROVED,SENT,
marketing_text_cta_nofooter_promo_vars_9164,APPROVED,SENT,
marketing_text_cta_nofooter_promo_vars_2901,APPROVED,SENT,
marketing_text_cta_nofooter_coupon_vars_7102,APPROVED,SENT,
marketing_text_cta_qr_nofooter_promo_vars_8817,APPROVED,SENT,
marketing_text_cta_qr_nofooter_promo_vars_4688,APPROVED,SENT,
marketing_text_cta_qr_nofooter_coupon_vars_6346,APPROVED,SENT,
utility_none_none_footer_update_novars_1099,PENDING,SKIPPED,Not approved
utility_none_quick_reply_footer_update_novars_3203,PENDING,SKIPPED,Not approved
utility_none_none_nofooter_update_novars_2835,PENDING,SKIPPED,Not approved
utility_none_quick_reply_nofooter_update_novars_5358,PENDING,SKIPPED,Not approved
utility_text_none_footer_update_novars_4221,PENDING,SKIPPED,Not approved
utility_text_quick_reply_footer_update_novars_2116,PENDING,SKIPPED,Not approved
utility_text_none_nofooter_update_novars_1025,PENDING,SKIPPED,Not approved
utility_image_none_footer_update_novars_8412,PENDING,SKIPPED,Not approved
utility_image_quick_reply_footer_update_novars_1538,PENDING,SKIPPED,Not approved
utility_image_none_nofooter_update_novars_5669,APPROVED,SENT,
utility_image_quick_reply_nofooter_update_novars_8985,PENDING,SKIPPED,Not approved
utility_document_none_footer_invoice_novars_1372,PENDING,SKIPPED,Not approved
utility_document_quick_reply_footer_invoice_novars_2013,APPROVED,SENT,
utility_document_none_nofooter_invoice_novars_3343,PENDING,SKIPPED,Not approved
utility_document_quick_reply_nofooter_invoice_novars_3293,PENDING,SKIPPED,Not approved
utility_none_none_footer_update_vars_4918,PENDING,SKIPPED,Not approved
utility_none_quick_reply_footer_update_vars_5278,PENDING,SKIPPED,Not approved
utility_none_none_nofooter_update_vars_7667,PENDING,SKIPPED,Not approved
utility_none_quick_reply_nofooter_update_vars_7259,PENDING,SKIPPED,Not approved
utility_text_none_footer_update_vars_6817,PENDING,SKIPPED,Not approved
utility_text_quick_reply_footer_update_vars_8114,PENDING,SKIPPED,Not approved
utility_text_none_nofooter_update_vars_8927,PENDING,SKIPPED,Not approved
utility_text_quick_reply_nofooter_update_vars_9483,PENDING,SKIPPED,Not approved
utility_image_none_footer_update_vars_9722,PENDING,SKIPPED,Not approved
utility_image_quick_reply_footer_update_vars_2112,PENDING,SKIPPED,Not approved
utility_image_none_nofooter_update_vars_3274,APPROVED,SENT,
utility_image_quick_reply_nofooter_update_vars_4233,PENDING,SKIPPED,Not approved
utility_document_none_footer_invoice_vars_4656,PENDING,SKIPPED,Not approved
utility_document_quick_reply_footer_invoice_vars_5326,PENDING,SKIPPED,Not approved
utility_document_none_nofooter_invoice_vars_7409,PENDING,SKIPPED,Not approved
utility_document_quick_reply_nofooter_invoice_vars_7020,PENDING,SKIPPED,Not approved
