TemplateName,Category,HeaderType,MediaUsed,Footer,Buttons,CTAType,Variables,Status,MetaError,FixApplied,FinalResult,Description,VariablesUsed,DosDonts
marketing_none_none_footer_promo_vars_2485,MARKETING,NONE,,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with NONE header, NONE buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_none_footer_promo_novars_1215,MARKETING,NONE,,TRUE,NONE,NONE,,APPROVED,,,PASS,"Tested MARKETING template with NONE header, NONE buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_quick_reply_footer_promo_vars_5922,MARKETING,NONE,,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with NONE header, QUICK_REPLY buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_quick_reply_footer_promo_novars_5992,MARKETING,NONE,,TRUE,QUICK_REPLY,NONE,,APPROVED,,,PASS,"Tested MARKETING template with NONE header, QUICK_REPLY buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_promo_vars_2410,MARKETING,NONE,,TRUE,CTA,VISIT_WEBSITE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_promo_vars_9268,MARKETING,NONE,,TRUE,CTA,CALL_PHONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_coupon_vars_5514,MARKETING,NONE,,TRUE,CTA,COPY_COUPON,TRUE,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",Positional Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_promo_novars_9918,MARKETING,NONE,,TRUE,CTA,VISIT_WEBSITE,,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_promo_novars_4035,MARKETING,NONE,,TRUE,CTA,CALL_PHONE,,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_none_cta_footer_coupon_novars_8433,MARKETING,NONE,,TRUE,CTA,COPY_COUPON,,APPROVED,,,PASS,"Tested MARKETING template with NONE header, CTA buttons",None,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_none_footer_promo_vars_9812,MARKETING,TEXT,,TRUE,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, NONE buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_quick_reply_footer_promo_vars_5597,MARKETING,TEXT,,TRUE,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, QUICK_REPLY buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_footer_promo_vars_1327,MARKETING,TEXT,,TRUE,CTA,VISIT_WEBSITE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_footer_promo_vars_0770,MARKETING,TEXT,,TRUE,CTA,CALL_PHONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_footer_coupon_vars_3245,MARKETING,TEXT,,TRUE,CTA,COPY_COUPON,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_qr_footer_promo_vars_4261,MARKETING,TEXT,,TRUE,BOTH,VISIT_WEBSITE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_qr_footer_promo_vars_5504,MARKETING,TEXT,,TRUE,BOTH,CALL_PHONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_qr_footer_coupon_vars_3814,MARKETING,TEXT,,TRUE,BOTH,COPY_COUPON,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, BOTH buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_none_nofooter_promo_vars_5627,MARKETING,TEXT,,,NONE,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, NONE buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_quick_reply_nofooter_promo_vars_1395,MARKETING,TEXT,,,QUICK_REPLY,NONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, QUICK_REPLY buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_nofooter_promo_vars_6604,MARKETING,TEXT,,,CTA,VISIT_WEBSITE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_nofooter_promo_vars_7405,MARKETING,TEXT,,,CTA,CALL_PHONE,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
marketing_text_cta_nofooter_coupon_vars_9388,MARKETING,TEXT,,,CTA,COPY_COUPON,TRUE,APPROVED,,,PASS,"Tested MARKETING template with TEXT header, CTA buttons",Named Params,DO: Ensure valid phone numbers for CTA. DONT: Use promotional words in Utility.
